country,degree,warming_polyfit_coefficients
Afghanistan,1,0.0008038880406774778
Afghanistan,0,-0.15573103993102763
Albania,1,0.0007181804719512295
Albania,0,-0.3200757796198955
Algeria,1,0.0008557969266952779
Algeria,0,-0.1479776909456672
Angola,1,0.0006772608770413386
Angola,0,0.0734530454086661
Antarctica,1,0.00043553302008296247
Antarctica,0,0.12201875132231312
Argentina,1,0.00038270720154360074
Argentina,0,0.08903023067840575
Armenia,1,0.0006917477359712738
Armenia,0,-0.3482192127435661
Australia,1,0.0005633126253295223
Australia,0,0.07385511514878303
Austria,1,0.0006706944180170665
Austria,0,-0.21070186470029267
Azerbaijan,1,0.0006451811719393794
Azerbaijan,0,-0.2844726699607976
Bangladesh,1,0.0003511320966896024
Bangladesh,0,-0.015209329303589753
Belarus,1,0.0006777362702688398
Belarus,0,-0.17590918217058826
Belgium,1,0.0004798590519732853
Belgium,0,-0.1868440559690079
Benin,1,0.0005759913812457236
Benin,0,0.06853715610765788
Bhutan,1,0.0006308522401224519
Bhutan,0,-0.09802291028265403
Bolivia,1,0.0007389511468641674
Bolivia,0,0.027659520973632185
Bosnia_and_Herz.,1,0.0007547401061564953
Bosnia_and_Herz.,0,-0.2801862454227644
Botswana,1,0.0008161338606361858
Botswana,0,0.043504858251504554
Brazil,1,0.0006561352546758645
Brazil,0,0.03418050775523014
Brunei,1,0.00045052176409440635
Brunei,0,0.02587776057529258
Bulgaria,1,0.0007385494342629923
Bulgaria,0,-0.3129404732717137
Burkina_Faso,1,0.0006725073870766618
Burkina_Faso,0,0.07775660928550358
Burundi,1,0.0005446738826948026
Burundi,0,-0.07994450404225888
Cambodia,1,0.0007553645620809401
Cambodia,0,0.10628679605112826
Cameroon,1,0.0005898159530324221
Cameroon,0,0.04067089019583995
Canada,1,0.0010352997695191745
Canada,0,0.01921721226929633
Central_African_Rep.,1,0.0006172393079576753
Central_African_Rep.,0,0.05198624531363202
Chad,1,0.0008119631318349911
Chad,0,-0.02159575531080529
Chile,1,0.0003800786566650513
Chile,0,0.04860285313586134
China,1,0.0007369326871196913
China,0,-0.17713896135967178
Colombia,1,0.0005589182030059327
Colombia,0,-0.013026036730783659
Congo,1,0.000532756006393487
Congo,0,0.0059928723689402314
Costa_Rica,1,0.0006174801680490261
Costa_Rica,0,0.022651457323269262
Cuba,1,0.0005993011142595515
Cuba,0,-0.039590676482208535
Cyprus,1,0.0007043271323515804
Cyprus,0,-0.23264608174597837
Czechia,1,0.0006391814216794113
Czechia,0,-0.12394342077137073
Côte_d'Ivoire,1,0.0005848355841075973
Côte_d'Ivoire,0,0.13804847292090222
Dem._Rep._Congo,1,0.0005723579314360786
Dem._Rep._Congo,0,-0.011612720545807111
Denmark,1,0.0004371779448576938
Denmark,0,-0.07177002753325801
Djibouti,1,0.0006819599727368743
Djibouti,0,0.03259804020523192
Ecuador,1,0.0005085424312313184
Ecuador,0,-0.022866321704630436
Egypt,1,0.0008023914582632847
Egypt,0,-0.18749799806848091
Eritrea,1,0.000839569343719918
Eritrea,0,0.0011788102285833538
Estonia,1,0.0006662436154543191
Estonia,0,-0.13590046094868696
Ethiopia,1,0.0006339864341208801
Ethiopia,0,0.08593193247408225
Fiji,1,0.00039828114047753255
Fiji,0,0.04043892231311021
Finland,1,0.000632203773224757
Finland,0,-0.11368019608811056
France,1,0.0005701813826833493
France,0,-0.12064833537963278
Gabon,1,0.0005088824882404014
Gabon,0,0.029435980852185822
Georgia,1,0.0007141398437604201
Georgia,0,-0.34838351081711727
Germany,1,0.0005421525164093886
Germany,0,-0.14773352422502556
Ghana,1,0.0005806968925919315
Ghana,0,0.06263565433380594
Greece,1,0.0006599613243148656
Greece,0,-0.25896652592273833
Greenland,1,0.0005587645507349323
Greenland,0,0.10254354593934518
Guatemala,1,0.0007587985739940979
Guatemala,0,0.07064822127578553
Guinea,1,0.0006652864045672744
Guinea,0,0.17069209005708882
Guinea-Bissau,1,0.0006233818784946233
Guinea-Bissau,0,0.09241753182272382
Guyana,1,0.0005926289427417161
Guyana,0,-0.12285450565488308
Honduras,1,0.0007927937427513957
Honduras,0,0.18962815286739368
Hungary,1,0.0008037438939359162
Hungary,0,-0.18794406802554461
Iceland,1,0.00037982793623038674
Iceland,0,0.12046022113731843
India,1,0.0004762978703909322
India,0,-0.08129641828880078
Indonesia,1,0.0004895501086736025
Indonesia,0,0.0632376995903229
Iran,1,0.0008158283785913728
Iran,0,-0.1240576322267685
Iraq,1,0.0008660875696115978
Iraq,0,-0.15827723206037198
Ireland,1,0.00014687496320001448
Ireland,0,0.011584730884488465
Israel,1,0.0007610786150088178
Israel,0,-0.2173868372546586
Italy,1,0.0007217014252908137
Italy,0,-0.12787677181772972
Jamaica,1,0.0005672483632697214
Jamaica,0,-0.0478339796201217
Japan,1,0.0007168716802733483
Japan,0,-0.1657071979068177
Jordan,1,0.0008535420564374711
Jordan,0,-0.15776259177675916
Kazakhstan,1,0.0008389167289227272
Kazakhstan,0,-0.1967294417069918
Kenya,1,0.00055201776140527
Kenya,0,0.08615844440749179
Kuwait,1,0.0008786667588706764
Kuwait,0,-0.07689551941973419
Kyrgyzstan,1,0.0008522584721255788
Kyrgyzstan,0,-0.19349444541045352
Laos,1,0.0005768279131522004
Laos,0,-0.03830793743970779
Latvia,1,0.0006163464752363819
Latvia,0,-0.11263535784813343
Lesotho,1,0.0005605781223822846
Lesotho,0,0.026608052261669922
Liberia,1,0.0006081519105592964
Liberia,0,0.07389430562814699
Libya,1,0.0007938836232624877
Libya,0,-0.1696819062361282
Lithuania,1,0.0006223463172209334
Lithuania,0,-0.12723816724849693
Madagascar,1,0.0005297853282788314
Madagascar,0,0.10590143030164903
Malawi,1,0.000769163088093316
Malawi,0,0.3454326203446885
Malaysia,1,0.00047566319681777185
Malaysia,0,0.04819871820153352
Mali,1,0.0008152179442690037
Mali,0,0.00972073143844607
Mauritania,1,0.0008452040575058898
Mauritania,0,-0.029992837523375036
Mexico,1,0.0006116678220947861
Mexico,0,-0.07793458149290962
Moldova,1,0.0007192248091735693
Moldova,0,-0.30629792935142236
Mongolia,1,0.0008708928410918008
Mongolia,0,-0.12505829172910748
Montenegro,1,0.0007424716950950185
Montenegro,0,-0.3368752261005622
Morocco,1,0.0007182997654707903
Morocco,0,-0.10735325057180696
Mozambique,1,0.0006349361994733389
Mozambique,0,0.11349589377595402
Myanmar,1,0.00048382662571281573
Myanmar,0,0.10117306144730051
Namibia,1,0.0007649272376742683
Namibia,0,0.06228599876968658
Nepal,1,0.0005408291495061416
Nepal,0,0.15305517828411694
Netherlands,1,0.00035084410941183463
Netherlands,0,-0.10483159051491399
New_Zealand,1,0.00037396418824289264
New_Zealand,0,0.1502185270942475
Nicaragua,1,0.0006580667868556416
Nicaragua,0,-0.04428941572541144
Niger,1,0.0008650730397343121
Niger,0,-0.023872875103632205
Nigeria,1,0.0006554730208890024
Nigeria,0,0.08958990235070591
North_Korea,1,0.0007931894196171024
North_Korea,0,-0.15355556365009437
Norway,1,0.0005159173658396008
Norway,0,0.03143876598513946
Oman,1,0.0007775402040465861
Oman,0,0.006334614393861223
Pakistan,1,0.0007497802797984515
Pakistan,0,-0.11480587095524815
Panama,1,0.0005397323797211417
Panama,0,-0.007719505713564576
Papua_New_Guinea,1,0.00044281195141822707
Papua_New_Guinea,0,0.024770197589412485
Paraguay,1,0.0006889890165293014
Paraguay,0,0.1751166363429395
Peru,1,0.0005784432165961919
Peru,0,-0.04618858916004985
Philippines,1,0.0005022179206213308
Philippines,0,0.05235164166805082
Poland,1,0.0005941205042573815
Poland,0,-0.14041364222920388
Portugal,1,0.0006510083760235712
Portugal,0,-0.09140202130973882
Romania,1,0.0007673731545269722
Romania,0,-0.2927501135018234
Russia,1,0.0009532658347427965
Russia,0,0.16328600224589757
S._Sudan,1,0.0006422685138476027
S._Sudan,0,0.07975984199581158
Saudi_Arabia,1,0.0009322281278816494
Saudi_Arabia,0,-0.05372092574146216
Senegal,1,0.0007197085695565247
Senegal,0,0.10427215504214143
Serbia,1,0.0007470439800676149
Serbia,0,-0.33497599421519686
Sierra_Leone,1,0.0007093651384247403
Sierra_Leone,0,0.1457337353418269
Slovakia,1,0.0007918354375682718
Slovakia,0,-0.12174930199871362
Slovenia,1,0.0006961053428799268
Slovenia,0,-0.23157758319785685
Somalia,1,0.000534731508216119
Somalia,0,0.05726315663486594
Somaliland,1,0.0006463121701276415
Somaliland,0,0.04052616078083952
South_Africa,1,0.0006069340709893156
South_Africa,0,0.1358991344207461
South_Korea,1,0.0006728414988591866
South_Korea,0,-0.23757721486243244
Spain,1,0.0006632479109145874
Spain,0,-0.11216326279578737
Sri_Lanka,1,0.00037344368239120197
Sri_Lanka,0,0.09072638757046071
Sudan,1,0.0008735329434266462
Sudan,0,-0.03825295665640963
Suriname,1,0.0006172033197208844
Suriname,0,-0.14945240848716662
Sweden,1,0.0004976367038290197
Sweden,0,-0.0776749048489033
Switzerland,1,0.0006358273695756486
Switzerland,0,-0.2601459466868706
Syria,1,0.0007979778315901186
Syria,0,-0.18304384478843333
Tajikistan,1,0.0008389800129197045
Tajikistan,0,-0.1863443598092347
Tanzania,1,0.0005466846717590152
Tanzania,0,0.10606020783879332
Thailand,1,0.0005944081819496013
Thailand,0,0.1004469885376817
Tunisia,1,0.000717773031382204
Tunisia,0,-0.2050622303471074
Turkey,1,0.0007257320079777694
Turkey,0,-0.2788399841929737
Turkmenistan,1,0.0006917578713789179
Turkmenistan,0,-0.17741357203578548
Uganda,1,0.00048033444267320144
Uganda,0,-0.0011405499524152387
Ukraine,1,0.0007310047969105351
Ukraine,0,-0.3083671607600128
United_Arab_Emirates,1,0.0009120974568159895
United_Arab_Emirates,0,-0.026674022408342282
United_Kingdom,1,0.0002156301562429558
United_Kingdom,0,-0.02587049849315517
United_States_of_America,1,0.0007325876704512263
United_States_of_America,0,-0.31881990860307063
Uruguay,1,0.00031534164799604475
Uruguay,0,0.08075513357322148
Uzbekistan,1,0.0007211754109593628
Uzbekistan,0,-0.198930546337095
Venezuela,1,0.0006740264517383672
Venezuela,0,-0.02945928653066279
Vietnam,1,0.000591219215586993
Vietnam,0,-0.022751029868429452
W._Sahara,1,0.0008402205053275348
W._Sahara,0,-0.09060502621698566
Yemen,1,0.0008099620666249498
Yemen,0,0.022854157961381773
Zambia,1,0.0007171373943704226
Zambia,0,0.07259416970817473
Zimbabwe,1,0.0007487145069059966
Zimbabwe,0,0.027357799623379902
global_mean,1,0.0004879032621412759
global_mean,0,0.02554753526051745
